 Name                           Version          License                                                                                           Author                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   URL                                                                                            Description                                                                                                                                                                                                                                                                       
 ConfigArgParse                 1.7.1            MIT License                                                                                       UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  https://github.com/bw2/ConfigArgParse                                                          A drop-in replacement for argparse that allows options to also be set via config files and/or environment variables.                                                                                                                                                              
 Cython                         3.1.3            Apache Software License                                                                           Robert Bradshaw, Stefan Behnel, David Woods, Greg Ewing, et al.                                                                                                                                                                                                                                                                                                                                                                                                                                          https://cython.org/                                                                            The Cython compiler for writing C extensions in the Python language.                                                                                                                                                                                                              
 Deprecated                     1.2.18           MIT License                                                                                       Laurent LAPORTE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          https://github.com/laurent-laporte-pro/deprecated                                              Python @deprecated decorator to deprecate old python classes, functions or methods.                                                                                                                                                                                               
 Farama-Notifications           0.0.4            MIT License                                                                                       Jordan Terry                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             https://github.com/Farama-Foundation/Farama-Notifications                                      Notifications for all Farama Foundation maintained libraries.                                                                                                                                                                                                                     
 Flask                          3.1.1            UNKNOWN                                                                                           UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  https://github.com/pallets/flask/                                                              A simple framework for building complex web applications.                                                                                                                                                                                                                         
 GitPython                      3.1.45           BSD-3-Clause                                                                                      Sebastian Thiel, Michael Trier                                                                                                                                                                                                                                                                                                                                                                                                                                                                           https://github.com/gitpython-developers/GitPython                                              GitPython is a Python library used to interact with Git repositories                                                                                                                                                                                                              
 Jinja2                         3.1.6            BSD License                                                                                       UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  https://github.com/pallets/jinja/                                                              A very fast and expressive template engine.                                                                                                                                                                                                                                       
 Mako                           1.3.10           MIT License                                                                                       Mike Bayer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               https://www.makotemplates.org/                                                                 A super-fast templating language that borrows the best ideas from the existing templating languages.                                                                                                                                                                              
 Markdown                       3.8.2            UNKNOWN                                                                                           Manfred Stienstra, Yuri Takhteyev                                                                                                                                                                                                                                                                                                                                                                                                                                                                        https://Python-Markdown.github.io/                                                             Python implementation of John Gruber's Markdown.                                                                                                                                                                                                                                  
 MarkupSafe                     3.0.2            BSD License                                                                                       UNKNOWN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  https://github.com/pallets/markupsafe/                                                         Safely add untrusted strings to HTML/XML markup.                                                                                                                                                                                                                                  
 PyExifTool                     0.5.6            BSD License; GNU General Public License v3 or later (GPLv3+)                                      Kevin M (sylikc), Sven Marnach, various contributors                                                                                                                                                                                                                                                                                                                                                                                                                                                     http://github.com/sylikc/pyexiftool                                                            Python wrapper for exiftool                                                                                                                                                                                                                                                       
 PyQt6                          6.9.1            UNKNOWN                                                                                           Riverbank Computing Limited <info@riverbankcomputing.com>                                                                                                                                                                                                                                                                                                                                                                                                                                                https://www.riverbankcomputing.com/software/pyqt/                                              Python bindings for the Qt cross platform application toolkit                                                                                                                                                                                                                     
